starting slam
[INFO] [1746827972.088807]: [run_auto] Mapping - drive the vehicle, Ctrl-C when done …
est:  [0.0, 0.0, 7.7651067243882e-05]
act:  [0.0, 0.0, 0.0009999999999998899]
est:  [0.0, 0.0, -2.207685874303523e-05]
act:  [-0.0005184180905049018, 0.0008551272907801888, 0.0009999999999998899]
est:  [0.0, 0.0, 0.00011106745704784121]
act:  [0.0, 0.0, 0.0]
est:  [0.0, 0.0, 5.656740760381132e-05]
act:  [0.0, 0.0, 0.0009999999999998899]
est:  [0.0, 0.0, 0.0001247251363058795]
act:  [0.0, 0.0, 0.0009999999999998899]
est:  [0.0, 0.0, 5.598995847752887e-05]
act:  [0.0, 0.0, 0.0009999999999998899]
est:  [0.0, 0.0, 4.044231156643071e-05]
act:  [-0.0005184180905049018, 0.0008551272907801888, 0.0009999999999998899]
est:  [0.0, 0.0, 0.00012396210988021547]
act:  [-0.0005184180905049018, 0.0008551272907801888, 0.0009999999999998899]
est:  [0.0, 0.0, 7.202031607701897e-05]
act:  [0.0, 0.0, 0.0009999999999998899]
est:  [0.0, 0.0, 4.30599066853358e-05]
act:  [0.0, 0.0, 0.0009999999999998899]
est:  [0.0, 0.0, 0.0001040680011577017]
act:  [0.0, 0.0, 0.0]
est:  [0.0, 0.0, 9.006860473245567e-05]
act:  [0.0, 0.0, 0.0009999999999998899]
est:  [0.0, 0.0, 8.971093416726536e-05]
act:  [-0.0005184180905049018, 0.0008551272907801888, 0.0]
est:  [0.0, 0.0, 9.764239298107642e-05]
act:  [0.0, 0.0, 0.0009999999999998899]
est:  [0.0, 0.0, 9.00004773363849e-05]
act:  [0.0, 0.0, 0.0009999999999998899]
est:  [0.009448739087253678, 7.249764787999515e-07, 7.672732527404396e-05]
act:  [0.004612345654178895, 0.003965635833807379, -0.0019999999999997797]
est:  [0.019801296937626896, 1.7915842566422496e-06, 0.00010302842925237872]
act:  [0.017439255015886168, 0.011741907191374912, 0.0009999999999998899]
